date,temp_class,stp_class,hmdy_class,prcp_class,wdct_class,wdsp_class,state
2020-07-15,<25,980 to 990,>75,<0.1,E,<5,Haze
2020-07-16,<25,980 to 990,>75,<0.1,S,<5,Haze
2020-07-17,<25,980 to 990,>75,<0.1,E,<5,Haze
2020-07-18,25 to 30,980 to 990,>75,<0.1,E,<5,Haze
2020-07-19,25 to 30,980 to 990,50 to 75,<0.1,E,<5,Clear
2020-07-20,25 to 30,980 to 990,50 to 75,<0.1,E,<5,Clear
2020-07-21,25 to 30,980 to 990,50 to 75,<0.1,S,<5,Clear
2020-07-22,25 to 30,980 to 990,50 to 75,0.1 to 1,E,<5,Rain
2020-07-23,25 to 30,980 to 990,50 to 75,0.1 to 1,N,<5,Rain
2020-07-24,<25,980 to 990,50 to 75,<0.1,E,<5,Clear
2020-07-25,<25,980 to 990,>75,<0.1,E,<5,Haze
2020-07-26,<25,980 to 990,>75,<0.1,E,<5,Haze
2020-07-27,<25,980 to 990,>75,<0.1,N,<5,Haze
2020-07-28,<25,980 to 990,>75,<0.1,E,<5,Haze
2020-07-29,<25,980 to 990,>75,<0.1,E,<5,Haze
2020-07-30,<25,980 to 990,>75,<0.1,N,<5,Haze
2020-07-31,<25,980 to 990,>75,0.1 to 1,E,<5,Rain
2020-08-01,<25,980 to 990,>75,<0.1,E,<5,Haze
2020-08-02,<25,980 to 990,>75,<0.1,E,<5,Haze
2020-08-03,<25,980 to 990,>75,0.1 to 1,E,<5,Rain
2020-08-04,25 to 30,980 to 990,>75,<0.1,E,<5,Haze
2020-08-05,25 to 30,980 to 990,>75,<0.1,E,<5,Haze
2020-08-06,<25,980 to 990,>75,<0.1,E,<5,Haze
2020-08-07,<25,980 to 990,>75,1 to 10,E,<5,Rain
2020-08-08,<25,980 to 990,>75,<0.1,E,<5,Haze
2020-08-09,25 to 30,980 to 990,>75,0.1 to 1,E,<5,Rain
2020-08-10,25 to 30,980 to 990,>75,<0.1,E,<5,Haze
2020-08-11,25 to 30,980 to 990,50 to 75,0.1 to 1,S,<5,Rain
2020-08-12,25 to 30,980 to 990,50 to 75,<0.1,S,<5,Clear
2020-08-13,25 to 30,980 to 990,50 to 75,<0.1,S,<5,Clear
2020-08-14,25 to 30,<980,50 to 75,<0.1,E,<5,Clear
2020-08-15,25 to 30,<980,50 to 75,<0.1,E,<5,Clear
2020-08-16,25 to 30,<980,50 to 75,<0.1,E,<5,Clear
2020-08-17,25 to 30,<980,50 to 75,<0.1,E,<5,Clear
2020-08-18,25 to 30,<980,50 to 75,<0.1,E,<5,Clear
2020-08-19,25 to 30,<980,50 to 75,<0.1,S,<5,Clear
2020-08-20,25 to 30,<980,50 to 75,1 to 10,N,<5,Rain
2020-08-21,25 to 30,<980,>75,0.1 to 1,N,<5,Rain
2020-08-22,<25,<980,>75,0.1 to 1,N,<5,Rain
2020-08-23,<25,<980,>75,<0.1,N,<5,Haze
2020-08-24,<25,<980,>75,<0.1,N,<5,Haze
2020-08-25,<25,<980,>75,<0.1,N,<5,Haze
2020-08-26,<25,<980,>75,<0.1,N,<5,Haze
2020-08-27,<25,<980,>75,<0.1,E,<5,Haze
2020-08-28,<25,<980,>75,0.1 to 1,N,<5,Rain
2020-08-29,<25,<980,50 to 75,<0.1,N,<5,Clear
2020-08-30,<25,<980,50 to 75,<0.1,N,<5,Clear
2020-08-31,25 to 30,<980,50 to 75,0.1 to 1,N,<5,Rain
2020-09-01,25 to 30,<980,50 to 75,<0.1,N,<5,Clear
2020-09-02,25 to 30,<980,50 to 75,<0.1,N,<5,Clear
2020-09-03,<25,<980,50 to 75,<0.1,N,<5,Clear
2020-09-04,<25,<980,50 to 75,<0.1,N,<5,Clear
2020-09-05,<25,<980,>75,<0.1,N,<5,Haze
2020-09-06,<25,<980,50 to 75,<0.1,E,<5,Clear
2020-09-07,<25,<980,50 to 75,<0.1,E,<5,Clear
2020-09-08,<25,<980,50 to 75,<0.1,S,<5,Clear
2020-09-09,<25,<980,50 to 75,<0.1,E,<5,Clear
2020-09-10,<25,<980,50 to 75,<0.1,E,<5,Clear
2020-09-11,<25,<980,50 to 75,<0.1,E,<5,Clear
2020-09-12,<25,<980,50 to 75,<0.1,N,<5,Clear
2020-09-13,<25,<980,50 to 75,<0.1,E,<5,Clear
2020-09-14,<25,<980,50 to 75,<0.1,E,<5,Clear
2020-09-15,<25,<980,>75,<0.1,S,<5,Haze
2020-09-16,<25,<980,>75,<0.1,S,<5,Haze
2020-09-17,<25,<980,>75,0.1 to 1,S,<5,Rain
2020-09-18,<25,<980,>75,0.1 to 1,S,<5,Rain
2020-09-19,<25,<980,>75,0.1 to 1,S,<5,Rain
2020-09-20,25 to 30,<980,50 to 75,<0.1,S,<5,Clear
2020-09-21,25 to 30,<980,50 to 75,0.1 to 1,W,<5,Rain
2020-09-22,25 to 30,<980,25 to 50,0.1 to 1,W,<5,Rain
2020-09-23,25 to 30,<980,50 to 75,0.1 to 1,S,<5,Rain
2020-09-24,25 to 30,<980,50 to 75,0.1 to 1,S,<5,Rain
2020-09-25,25 to 30,<980,50 to 75,<0.1,S,<5,Clear
2020-09-26,25 to 30,<980,50 to 75,<0.1,S,<5,Clear
